City,before,during,reason,,access,hour work,hour park,desired,importance,why,gender,ethnicity,age,education,employment,marriage,income ,difference,trend
"Silver Spring, Maryland",1-2 times/week,1-2 times/week,Contemplative space;Just getting outside,,1,4,15,15,5,"Vitamin D (sunlight), exercise.",Male,0,34,1,Self-employed,Single,2,0,1
"memphis, tn",1-2 times/week,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking)",,1,2,2,1,4,to feel good,tn,0,30,1,Employed full-time(40+ hours a week),Married,3,0,1
wasington,1-2 times/week,1-2 times/week,Dog Walking;Socializing;Just getting outside,NA,1,7,1,1,5,VERY IMPORTANT,MALE,0,27,3,Employed full-time(40+ hours a week),Single,3,0,1
"sacramento, ca",1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside,n/a,1,2,1,1,5,it is a great place to relax and get exercise and just plain get out of the house,male,0,57,3,Self-employed,Married,1,0,1
CHENNAI,3-6 times/week,1-2 times/week,Time with family;Feel more relaxed and calm,FEEL MORE RELAXED AND CALM,1,5,1,1,4,"Ego is the most unimportant thing that many of us consciously or sub-consciously think as extremely important, especially if we disguise it as self-pride in our minds.",FEMALE,0,27,2,Employed full-time(40+ hours a week),Married,2,-1,1
Newyork,3-6 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking),0ne,1,7,1,1,5,Covid-19 pandemic days so very safety is best and spend nature times is very important  ,Male,0,32,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Linwood, 0rth Carolina",3-6 times/week,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking), Time with family, Socializing, Feel more relaxed and calm, Just getting outside, Connecting to nature, Reduce stress and anxiety",Contemplative space,1,8,1,1,5,It is very important for visiting local parks .,Male,0,33,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Indianapolis, Indiana",Daily,1-2 times/week,"Exercise (e.g. running and hiking), Just getting outside, Connecting to nature",,1,8,1,1,5,"Its important to spend time in nature. Because nature makes me calm and cool. It helps me to release my pressure, tension and stress. It helps me to relax. The silence and the nature makes my mind refreshed and helps me to think clearly.",Female,0,41,2,Employed full-time(40+ hours a week),Married,3,-2,1
rio de janeiro. rj,Daily,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking)",,1,8,1,3,5,"physical and mental health
",male,0,24,2,Employed full-time(40+ hours a week),Married,3,-2,1
RIO DE JANEIRO RJ,Daily,1-2 times/week,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Connecting to nature;Reduce stress and anxiety,,1,6,0.5,1,5,I fell less stressed when I make contact with nature.,female,0,28,2,Employed part-time (less than 40 hours a week),In a domestic partnership,1,-2,1
tamil nadu,1-2 times/week,3-6 times/week,Time with family,“My experience will be an asset to the company and will help me be successful in this position.,1,6,2,2,3,"Looking good. Each one is unique. Each one is a masterpiece. The concept of beauty is a much hyped one and makes people too conscious about appearances.
Being perfect. Perfection is a myth. It's boring and puts a full stop to growth and improvement. Being imperfect is real and there's always a scope at progress and betterment.",male,0,28,2,Self-employed,Married,2,-2,1
US,1-2 times/week,3-6 times/week,Contemplative space,US,1,10,9,11,3,VERY CAREFUL.,FEMAALE,0,45,2,Employed full-time(40+ hours a week),Married,3,1,1
"Maumelle,Arkansas",1-2 times/week,3-6 times/week,Contemplative space;Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,1,4,3,5,5,It is important to spend time in nature because it helps clear your head and the vitamin D is good for you.,Male,0,20,1,Student,Single,4,1,1
Washington,3-6 times/week,3-6 times/week,"Exercise (e.g. running and hiking), Contemplative space",,1,8,3,3,5,Unnecessary i dont go will be outside . We must need that things or person then we will go outside but keep social distance .,Female ,0,37,2,Employed part-time (less than 40 hours a week),Single,2,0,1
hollywood,3-6 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking),,1,8,1,2,3,it is important to it make life happy,male,0,29,1,Employed full-time(40+ hours a week),Single,3,0,1
wasington,3-6 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking);Socializing,NA,1,6,1,1,5,VERY IMPORTANT,MALE,0,27,3,Employed full-time(40+ hours a week),Single,4,0,1
atlanta GA,3-6 times/week,3-6 times/week,"Exercise (e.g. running and hiking), Socializing, Connecting to nature, Reduce stress and anxiety",,1,1,1,1,5,because it is helpful for me to stay calm.,male,0,30,3,Employed full-time(40+ hours a week),Single,3,0,1
"San diego, California.",Daily,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking);Feel more relaxed and calm;Connecting to nature;Reduce stress and anxiety,,1,8,0.4,1,5,"For me, outdoor walks control my anxiety and depression. I do 0t k0w how to explain the feeling of tranquility that these tours give me! peace is surreal. I want to feel 0rmal again!",male,0,28,1,Employed full-time(40+ hours a week),In a domestic partnership,2,-1,1
canada,3-6 times/week,Daily,Dog Walking;Contemplative space,n/a,1,6,20,20,4,to clear mind ,male,0,35,2,Employed full-time(40+ hours a week),Married,3,1,1
"madurai,tamilnadu",Daily,Daily,"Dog Walking, Contemplative space, Socializing, Feel more relaxed and calm",,1,18,2,3,5,"Everyday preventive actions to help prevent the spread of respiratory viruses should be followed, these include:

� Wash your hands often with soap and water for at least 20 seconds. Use an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are 0t available.",male,0,28,2,Employed full-time(40+ hours a week),Single,2,0,1
"madurai,tamilnadu",Daily,Daily,"Dog Walking, Exercise (e.g. running and hiking)",,1,3,3,3,4,"You will see how to bring this off skillfully as you read the first two questions of this report. ... Be sure to illustrate with specific examples of your responsibilities and ... the impression that money is 0t important to you, yet you...",male,0,28,2,Employed full-time(40+ hours a week),Single,2,0,1
bruklin newyork,Daily,Daily,"Dog Walking, Exercise (e.g. running and hiking)",,1,3,3,3,5,health is very important and nature sunlight is important fear is unimoprtant,male,0,23,2,Employed full-time(40+ hours a week),Single,2,0,1
"Darien, Connecticut",Daily,Daily,"Dog Walking, Exercise (e.g. running and hiking), Time with family",,1,8,4,5,5,It heals my life.,Male,0,25,2,Employed full-time(40+ hours a week),Married,3,0,1
"Waldorf, maryland",Daily,Daily,Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,8,1,1,5,"i think it is important because it gives you a chance to clear your mind and relax. that is how it is for me, at least.",female,0,25,1,Employed full-time(40+ hours a week),Single,3,0,1
Philadelphia,1-2 times/month,Never,"Dog Walking, Exercise (e.g. running and hiking), Socializing",,1,10,0,3,5,"It is spending time outside and that is important for the pysche. In addition to that, vitamin D is something that makes you healthier, and something that is beneficial for keeping you happy.",male,0,26,2,Employed full-time(40+ hours a week),In a domestic partnership,5,-2,1
Cascavel,1-2 times/yr,Never,Time with family;Socializing,,1,8,1,1,5,"Because it makes me feel good, it makes me forget about everyday problems. ",Male,0,26,2,Employed full-time(40+ hours a week),Married,4,-1,1
New York,3-6 times/week,Never,Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm,,1,1,2,1,5,My body need it,Female,0,39,2,Employed full-time(40+ hours a week),Married,4,-4,1
"COIMBATORE , TAMILNADU",Daily,Never,Time with family,,1,6,0,1,4,"safe your life , stay your home",male,0,34,2,Employed full-time(40+ hours a week),Married,2,-5,1
"Thomasville, NC",Never,Never,Exercise (e.g. running and hiking),,1,0,0,0,1,I'm happier indoors.,male,1,39,1,Employed full-time(40+ hours a week),Divorced,2,0,1
"Belhaven, NC",1-2 times/month,1-2 times/month,Contemplative space;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,1,1,1,4,"Being in nature is relaxing and gets us away from distractions such as housework, crowded places and traffic.",Female,1,61,2,Retired,Widowed,2,0,1
"Little Rock, Arkansas",1-2 times/month,1-2 times/month,Dog Walking;Contemplative space;Feel more relaxed and calm;Just getting outside,,1,9,0.25,1,4,"It's important to exercise, reflect, and be outside",male,1,31,2,Employed full-time(40+ hours a week),Married,3,0,1
Coralville Iowa,1-2 times/month,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Just getting outside,,1,9,1,1,4,I think its important to get outside and enjoy nature,male,1,37,2,Employed full-time(40+ hours a week),Single,3,0,1
"american,US",1-2 times/month,1-2 times/month,"Exercise (e.g. running and hiking), Socializing",,1,1,1,1,4,its very important we should need  relaxation for our body,female,1,25,2,Employed full-time(40+ hours a week),Single,3,0,1
"Milan, Italy",1-2 times/month,1-2 times/month,"Dog Walking, Contemplative space, Feel more relaxed and calm, Just getting outside",,1,8,0.5,0.5,4,"It's important in order to feel calm and relaxed, especially when you can't meet other people during covid-19",Male,1,30,1,Unemployed (currently looking for work),Single,2,0,1
"Topton, PA ",1-2 times/month,1-2 times/month,Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,8,1,1,5,It reminds me of where we come from. It brings me back to mother earth and calms me.,female,1,55,1,Employed full-time(40+ hours a week),Married,3,0,1
"Rochester, NY",1-2 times/month,1-2 times/month,"Dog Walking, Feel more relaxed and calm, Just getting outside",,1,40,1,1,3,I think its important because it helps me to unwind at the end of the day.,Male,1,25,1,Employed full-time(40+ hours a week),In a domestic partnership,3,0,1
"Columbus, GA",1-2 times/month,1-2 times/month,Time with family;Just getting outside,,1,0,0.5,0.5,4,We need to keep in touch with nature. The more we are aware of it the more we will want to preserve it.,male,1,66,3,Retired,Married,3,0,1
"Istanbul, Maltepe",1-2 times/week,1-2 times/month,Feel more relaxed and calm;Just getting outside;Connecting to nature,,1,9,0.5,1,4,"Helps to refresh mind and body, become more aware of the natural and social surroundings.",Male,1,31,2,Self-employed,Single,2,-1,1
Texas,1-2 times/week,1-2 times/month,Socializing,,1,1,1,1,5,its very important  we realize 0w in covid 19 ,female,1,47,2,Employed full-time(40+ hours a week),Married,2,-1,1
"SANTA BARBARA, CALIFORNIA",1-2 times/week,1-2 times/month,Time with family;Connecting to nature,,1,8,1,2,5,HEALTH IMPORTANT,FEMALE,1,65,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Florida, Miami",1-2 times/week,1-2 times/month,"Exercise (e.g. running and hiking), Feel more relaxed and calm, Connecting to nature",,1,6,3,2,4,It is very important If we spend our time with nature we get pure air and get the natural oxygen it is very good for our health.,male,1,29,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Oxnard, California",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking),,1,8,0,0,5,It's good good for your mental health,female,1,29,4,Self-employed,Single,3,-1,1
"Spokane, WA",1-2 times/week,1-2 times/month,"Exercise (e.g. running and hiking), Contemplative space, Time with family",,1,8,1,1,5,I think tech0logy and other people create 0ise and sometimes you need to escape all that artificial and social input and being in nature is a relaxing way to do that.,Male,1,31,1,Employed full-time(40+ hours a week),Single,2,-1,1
"Oakland, CA",1-2 times/week,1-2 times/month,"Exercise (e.g. running and hiking), Socializing",,1,5,0,1,4,Spending time in nature contributes to my mental well being and helps me keep things in perspective.,male,1,32,3,Employed part-time (less than 40 hours a week),Single,2,-1,1
"Bronx, NY",1-2 times/yr,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Just getting outside,,1,8,1,2,5,It is important to isolate and remove yourself from everyday stressors. It is also important to connect with nature and the outdoors. ,Male,1,48,3,Employed full-time(40+ hours a week),Married,5,1,1
"LOS ANGELES, CALIFORNIA",3-6 times/week,1-2 times/month,"Time with family, Feel more relaxed and calm, Connecting to nature",,1,6,0.5,0.5,4,To make ourselves happy and calm. It is important to spend time in nature. Also it gives very good feel to be with nature. Mind will be free from stress.,Male,1,31,2,Employed full-time(40+ hours a week),Single,3,-2,1
"holyrood, kansas",3-6 times/week,1-2 times/month,"Dog Walking, Exercise (e.g. running and hiking), Time with family, Socializing, Feel more relaxed and calm",0,1,7,1,1,5,because good air breathe and fell some happiness and give some energy,male,1,36,2,Employed full-time(40+ hours a week),Married,3,-2,1
"stamford, connecticut",3-6 times/week,1-2 times/month,"Feel more relaxed and calm, Just getting outside, Connecting to nature, Reduce stress and anxiety",,1,1,1,1,4,to keep the earth suitable for all living organisms so they can sustain well,female,1,25,2,Employed full-time(40+ hours a week),Single,3,-2,1
"Kissimmee, Flordia",3-6 times/week,1-2 times/month,Exercise (e.g. running and hiking);Contemplative space;Just getting outside,,1,8,1,1,4,To reconnect and decompress from all the information that I take in online everyday.,Male,1,38,4,Employed full-time(40+ hours a week),Single,2,-2,1
"Miami, Florida",3-6 times/week,1-2 times/month,Dog Walking;Socializing,,1,8,2,2,5,0thing better than breathing the fresh air of nature,Male,1,20,1,Student,Single,2,-2,1
"City, California",3-6 times/week,1-2 times/month,Contemplative space,0THING ,1,4,5,7,3,"IS IMPORTANT, SPREDING COVID-19",WOMAN,1,32,1,Employed full-time(40+ hours a week),Married,2,-2,1
"orlando, florida",Daily,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Feel more relaxed and calm;Connecting to nature;Reduce stress and anxiety,,1,12,0.75,1.5,5,"Well, take your stress off. Keeps you healthy. It gives you peace. It makes you feel good about yourself.",male,1,25,2,Employed full-time(40+ hours a week),Single,1,-3,1
"Alvarado, Texas",Daily,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Time with family;Socializing;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,8,1,1,5,Spend time for nature because it will give relax for our mind and body.,Female,1,38,3,Employed full-time(40+ hours a week),Married,4,-3,1
"Arlington Heights, Illi0is",1-2 times/month,1-2 times/week,Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,1,0,2,2,4,It has a very calming and restorative effect on you especially during stressful times.,Female,1,47,2,Unemployed (currently looking for work),Married,2,1,1
"Austin, Texas",1-2 times/month,1-2 times/week,Exercise (e.g. running and hiking),,1,9,1,2,5,I think fresh air is good for the body and soul.,Male,1,35,2,Employed full-time(40+ hours a week),Single,3,1,1
tx,1-2 times/week,1-2 times/week,Contemplative space;Time with family;Socializing,5,1,5,5,5,5,good,male,1,35,2,Employed full-time(40+ hours a week),Married,2,0,1
FLORIDA,1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm,CAT WALKING,1,6,2,3,4,IMPORTANT.BECAUSE IT GIVES RELAX AND STRESS RELIEF.,MALE,1,35,2,Employed part-time (less than 40 hours a week),Married,2,0,1
tx,1-2 times/week,1-2 times/week,Time with family;Socializing,5,1,5,5,5,5, good,male,1,35,2,Employed full-time(40+ hours a week),Married,3,0,1
"Joplin, MO",1-2 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,6,1,1,5,I think it is nice to appreciate the beautiful things that God created around us.,female,1,40,1,Employed part-time (less than 40 hours a week),Married,2,0,1
Yelm,1-2 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside;Connecting to nature,,1,0,1,1,5,It gets me outside and away from problems at home. It's also good to get out and move.,Female,1,63,1,Retired,Married,3,0,1
